Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Light Gradient Boosting Machine,0.6576,0.7068,0.4552,0.6704,0.5422,0.2844,0.2981,0.374
Gradient Boosting Classifier,0.6473,0.6918,0.4052,0.6730,0.5058,0.2571,0.2771,0.077
Ada Boost Classifier,0.6402,0.6810,0.4361,0.6415,0.5192,0.2481,0.2599,0.212
K Neighbors Classifier,0.6103,0.6364,0.5311,0.5667,0.5483,0.2062,0.2066,0.679
Decision Tree Classifier,0.6048,0.6071,0.4779,0.5669,0.5186,0.1876,0.1895,0.082
Quadratic Discriminant Analysis,0.5827,0.6105,0.3748,0.5460,0.4445,0.1284,0.1343,0.362
Naive Bayes,0.5825,0.6095,0.3641,0.5471,0.4372,0.1261,0.1328,0.064
Logistic Regression,0.5801,0.6063,0.3512,0.5445,0.4270,0.1194,0.1266,0.222
Ridge Classifier,0.5800,0.0000,0.3508,0.5444,0.4267,0.1191,0.1263,0.064
Linear Discriminant Analysis,0.5800,0.6063,0.3524,0.5441,0.4278,0.1193,0.1264,0.057
SVM - Linear Kernel,0.5769,0.0000,0.3926,0.5350,0.4499,0.1206,0.1250,0.056
Dummy Classifier,0.5546,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.148